Domain,Problem Statement,GitHub Link,YouTube Link,Other Resource Link,Description,
IoT,Develop a Smart Waste Management System Variant 6,https://github.com/SmartWasteManagement/SmartBin,https://youtu.be/o4Rr_lDFWfA,https://www.gi-de.com/en/digital-security/connectivity-iot?utm_term=iot%20technology&utm_campaign=(AccScale)+Branding+Generic+-+Search+-+APAC&utm_source=adwords&utm_medium=ppc&hsa_acc=4014151243&hsa_cam=21831723504&hsa_grp=168922696949&hsa_ad=718256634616&hsa_src=g&hsa_tgt=kwd-321680643074&hsa_kw=iot%20technology&hsa_mt=e&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1GhTgHSlgIPTgVW178uWL5VbwNL8IdwbvN_zdIJ647nQjEO8mIsNtMaAifFEALw_wcB,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 6,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 7,https://github.com/jgvaraujo/ml-deployment-on-gcloud,https://youtu.be/PHMTNAYEDAg,https://www.cloudflare.com/en-gb/lp/pg-r2-comparison/?utm_medium=cpc&utm_source=google&utm_campaign=2023-q4-acq-gbl-developers-r2-ge-general-paygo_mlt_all_g_search_bg_exp__dev&utm_content=r2&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1EBJqXQ7ixOLPxGPNWCNxiJFSm4gd1MCb0adywNlcGGTWo01CibQ8IaAsA-EALw_wcB&gclsrc=aw.ds,A cloud-based disaster recovery system to ensure business continuity. - Variant 7,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 8,https://github.com/aw-junaid/Hacking-Tools,https://youtu.be/p59B-I67yf8,https://www.knowledgehut.com/blog/security/top-cyber-security-projects,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 8,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 9,https://github.com/example/Predictive-Maintenance,https://youtu.be/CWtLdR2SxNY,https://thttps://www.ibm.com/think/topics/data-scienceowardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 9,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 10,https://github.com/adrianhajdin/healthcare,https://youtu.be/_La6vH7RWvY,https://www.mdpi.com/journal/healthcare,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 10,
IoT,Develop a Smart Waste Management System Variant 11,https://github.com/project-chip/connectedhomeip,https://youtu.be/qjn2SR2WlG4,https://iot.eclipse.org/,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 11,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 12,https://github.com/topics/internet-of-things,https://www.ibm.com/think/topics/internet-of-things,https://youtu.be/64r1spSdBs0,A cloud-based disaster recovery system to ensure business continuity. - Variant 12,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 13,https://github.com/pwnosec-staff/SecureAPP,https://youtu.be/kqaMIFEz15s,https://www.ibm.com/think/topics/cybersecurity,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 13,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 14,https://github.com/microsoft/ML-For-Beginners,https://youtu.be/9OA757v4FAM,httphttps://github.com/microsoft/ML-For-Beginnerss://towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 14,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 15,https://github.com/MrSagarBiswas/E-Health-Management-System,https:https://youtu.be/yD3BMT_cXew//www.youtube.com/watch?v=mental_health_chatbot,https://cloud.google.com/healthcare-api/docs/tutorials/github,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 15,
IoT,Develop a Smart Waste Management System Variant 16,https://github.com/microsoft/IoT-For-Beginners,https://youtu.be/64r1spSdBs0,https://ieeexplore.ieee.org/document/10647188,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 16,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 17,https://github.com/joaogabriel-sg/dev-cloud,https://youtu.be/PHMTNAYEDAg,https://cloud.google.com/build/docs/automating-builds/github/connect-repo-github,A cloud-based disaster recovery system to ensure business continuity. - Variant 17,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 18,https://github.com/farhanashrafdev/90DaysOfCyberSecurity,https://youtu.be/p59B-I67yf8ps://www.youtube.com/watch?v=phishing_ai,https://www.cisa.gov/cisa-github,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 18,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 19,https://github.com/deepfence/FlowMeter,https://youtu.be/28UJqDen1sAps://www.youtube.com/watch?v=maintenance_ml,https://aws.amazon.com/what-is/data-science/,A machine learning model that predicts equipment failures before they occur. - Variant 19,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 20,https://github.com/kakoni/awesome-healthcare,https://youtu.be/yD3BMT_cXew,https://www.theweek.in/wire-updates/national/2025/03/28/bom10-gj-assembly-cag-health.html,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 20,
IoT,Develop a Smart Waste Management System Variant 21,https://github.com/Azure/Industrial-IoT,https://youtu.be/64r1spSdBs0,https://www.techtarget.com/iotagenda/definition/Internet-of-Things-IoT,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 21,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 22,https://github.com/learntocloud/learn-to-cloud,https://youtu.be/laKNB0h2OI8,https://jumpcloud.com/lp/mdm-fava-bean?gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1EQoK3dTHK32-npJ6WWrYriNm3-KNG6nhDYImh_gOWfU_3rOEZETPwaAp4gEALw_wcB&creative=672265030293&keyword=cloud%20mdm&matchtype=b&network=g&device=c&utm_source=GoogleAds-Paid&utm_medium=Paid-Search&utm_term=cloud%20mdm&utm_content=&utm_campaign=Google_S_IN_EN_Device-Management&cq_src=google_ads&cq_cmp=20513574697&cq_con=158670671968&cq_term=cloud%20mdm&cq_med=&cq_plac=&cq_net=g&cq_pos=&cq_plt=gp&gad_source=1,A cloud-based disaster recovery system to ensure business continuity. - Variant 22,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 23,https://github.com/vatsalgupta67/All-In-One-CyberSecurity-Resources,https://youtu.be/p59B-I67yf8,https://www.siemens.com/global/en/products/automation/topic-areas/industrial-cybersecurity.html?acz=1&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1FfxtygggrjmnsulLVOvCdKRjDA3M28LZFCWc10zGaPnfK1vJ4sPr0aAoXJEALw_wcB,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 23,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 24,https://github.com/microsoft/Data-Science-For-Beginners,https://youtu.be/VGhZ4f2UggM,https://developers.googleblog.com/en/data-science-agent-in-colab-with-gemini/,A machine learning model that predicts equipment failures before they occur. - Variant 24,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 25,https://github.com/solutions/industry/healthcare,https://youtu.be/_La6vH7RWvY,https://www.sciencedirect.com/topics/medicine-and-dentistry/health-care,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 25,
IoT,Develop a Smart Waste Management System Variant 26,https://github.com/thingsboard,https://youtu.be/64r1spSdBs0,https://www.zoho.com/iot/solutions/industrial-iot.html?network=g&device=c&campaignid=22293896330&adgroup=176020263015&keyword=&matchtype=&adposition=&creative=735341361973&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1E0gYRjq40C-EQiWhNPqiS2cEnvEceU5FsX61ZHXql9BAcJ031z-NEaAkyMEALw_wcB,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 26,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 27,https://github.com/topics/cloud-computing?o=asc&s=stars,https://youtu.be/JJErMop7o0s/www.youtube.com/watch?v=disaster_recovery,https://www.intel.com/content/www/us/en/cloud-computing/cloud-management-platforms.html?cid=sem&source=sa360&campid=2025_ao_cbu_in_gmocoma_gmocrbu_awa_text-link_generic_broad_cd_HQ-COMM-DataCenter-EG-CloudManagement-OBS_FC25023_google_b2b_is_non-pbm_intel&ad_group=Cloud-Platform_Broad&intel_term=cloud+management+platform&sa360id=43700081491750278&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1ExMMAIMnffgP2dtT9uHGWYfk8AGnE6Qx4v0u0Fb_6WbsK6UWw-q7EaAv0tEALw_wcB&gclsrc=aw.ds,A cloud-based disaster recovery system to ensure business continuity. - Variant 27,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 28,https://github.com/security,https://youtu.be/r86YCwX_iU4,https://www.imperva.com/products/data-security-fabric/?utm_source=google&utm_medium=cpc&utm_campaign=sw-DataSecurityFabric-IN&utm_content=&utm_term=cloud%20security&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1GMPcOESkQyJG-1gy2aGVRouxgGNqYRhFQhWScIZamI6-79csuanKwaAojaEALw_wcB,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 28,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 29,https://github.com/academic/awesome-datascience,https://youtu.be/D9CLhQdLp8w,https://en.wikipedia.org/wiki/Data_science//towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 29,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 30,https://github.com/topics/healthcare?l=html,https://youtu.be/yD3BMT_cXew,https://www.babushahi.com/view-news.php?id=201493,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 30,
IoT,Develop a Smart Waste Management System Variant 31,https://github.com/programming-the-iot,https://youtu.be/gt4xRcuTrqU,https://iot-analytics.com/number-connected-iot-devices/://www.mdpi.com/2071-1050/10/5/1560,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 31,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 32,https://aws.amazon.com/free/?all-free-tier.sort-by=item.additionalFields.SortRank&all-free-tier.sort-order=asc&awsf.Free%20Tier%20Types=*all&awsf.Free%20Tier%20Categories=categories%23compute&trk=420ae35f-03c7-4d55-b603-a2ce3b4019ee&sc_channel=ps&ef_id=Cj0KCQjwkZm_BhDrARIsAAEbX1EDqhmzP3yxjwC36HhkkGmtGnm4IFmx0hvQTyStTvdxQ0M-02zBJfYaAoPNEALw_wcB:G:s&s_kwcid=AL!4422!3!652472232600!e!!g!!cloud%20computing!2069430389!74516128217&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1EDqhmzP3yxjwC36HhkkGmtGnm4IFmx0hvQTyStTvdxQ0M-02zBJfYaAoPNEALw_wcB,https://youtu.be/laKNB0h2OI8,https://www.geeksforgeeks.org/cloud-computing/,A cloud-based disaster recovery system to ensure business continuity. - Variant 32,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 33,https://github.com/microsoft/Security-101,https://youtu.be/p59B-I67yf8s://www.youtube.com/watch?v=phishing_ai,https://www.cisa.gov/topics/cybersecurity-best-practices,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 33,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 34,https://github.com/Avaiga/taipy,https://youtu.be/VGhZ4f2UggM,https://www.datasciencecentral.com/,A machine learning model that predicts equipment failures before they occur. - Variant 34,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 35,https://github.com/ohcnetwork,https://youtu.be/yD3BMT_cXew/www.youtube.com/watch?v=mental_health_chatbot,https://www.merriam-webster.com/dictionary/health%20care,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 35,
IoT,Develop a Smart Waste Management System Variant 36,https://github.com/SmartWasteManagement/SmartBin,https://youtu.be/7zWVxrjjIpE,https://iot-analytics.com/,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 36,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 37,https://github.com/example/Cloud-Disaster-Recovery,https://youtu.be/laKNB0h2OI8,https://www.ibm.com/think/topics/cloud-computing,A cloud-based disaster recovery system to ensure business continuity. - Variant 37,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 38,https://github.com/berylliumsec/nebula,https://youtu.be/kqaMIFEz15s,https://www.ncsc.gov.uk/section/about-ncsc/what-is-cyber-security,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 38,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 39,https://github.com/example/Predictive-Maintenance,https://www.youtube.com/watch?v=maintenance_ml,https://towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 39,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 40,https://github.com/Rogendo/Mental-health-Chatbot,https://www.youtube.com/watch?v=mental_health_chatbot,https://docs.example.com/mental-health-chatbots,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 40,
IoT,Develop a Smart Waste Management System Variant 41,https://github.com/SmartWasteManagement/SmartBin,https://www.youtube.com/watch?v=stu234,https://www.mdpi.com/2071-1050/10/5/1560,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 41,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 42,https://github.com/example/Cloud-Disaster-Recovery,https://www.youtube.com/watch?v=disaster_recovery,https://docs.example.com/cloud-disaster-recovery,A cloud-based disaster recovery system to ensure business continuity. - Variant 42,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 43,https://github.com/SimonLariz/PhishSentry.AI,https://www.youtube.com/watch?v=phishing_ai,https://medium.com/example5,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 43,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 44,https://github.com/example/Predictive-Maintenance,https://www.youtube.com/watch?v=maintenance_ml,https://towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 44,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 45,https://github.com/Rogendo/Mental-health-Chatbot,https://www.youtube.com/watch?v=mental_health_chatbot,https://docs.example.com/mental-health-chatbots,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 45,
